,Unnamed: 0,keyword,pos
76,76,붙이는벽지,2
77,77,여자여름셔츠,3
78,78,레나메진,-1
79,79,타임워치,2
80,80,사각휴지케이스,2
81,81,폭스바겐폴로,-1
82,82,모달원단,2
83,83,보테가크로스백,3
84,84,선세럼,1
85,85,에스테틱화장품,3
86,86,아기바람선풍기,3
87,87,물방석,2
88,88,어린이만들기,2
89,89,카펠리니,4
90,90,바이크보호대,2
91,91,인피니티Q60,-1
92,92,무인택배함사용법,-1
93,93,구리가격,-1
94,94,쿠키포장지,2
95,95,실내원피스,2
96,96,BIT,-1
97,97,SK6인용식기세척기,2
98,98,여자덧신,2
99,99,필라키즈운동화,2
0,0,월평토분,1
1,1,보카스,3
2,2,듀얼센스,1
3,3,양말제작,5
4,4,테니스옷,2
5,5,아디다스롱패딩,2
6,6,스투키꽃말,-1
7,7,쏭레브,3
8,8,슬링백힐,3
9,9,휴대용접이식의자,2
10,10,강아지비즈목걸이,1
11,11,헤어고무줄,2
12,12,200만원대시계,2
13,13,줌플라이,2
14,14,아이뮤즈,3
15,15,공벌레,-1
16,16,코너쇼파,2
17,17,골프목토시,2
18,18,팬톤페인트,3
19,19,하니웰,5
20,20,헤라UV미스트쿠션,1
21,21,주방타일시공,3
22,22,대구인터불고뷔페,-1
23,23,전기레인지,2
24,24,양장,-1
25,25,아이스크림막대,2
26,26,포나리나스니커즈,2
27,27,명품조명,2
28,28,스탠드에어컨커버,2
29,29,플라워쉬폰원피스,3
30,30,핑아이언세트,2
31,31,계단논슬립,2
32,32,산업용환풍기,2
33,33,도미노,2
34,34,캠핑트레일러가격,2
35,35,프라스틱박스,2
36,36,한샘트롤리,1
37,37,BYFAR,4
38,38,체크조거팬츠,1
39,39,녹차초콜릿,2
40,40,예뿍이의작업방,3
41,41,복음자리팥,2
42,42,제수,-1
43,43,여성란제리,2
44,44,에어컨덕트,1
45,45,유아텐트,2
46,46,수저,2
47,47,충전기선,1
48,48,연꽃키우기,6
49,49,선풍기모터,2
50,50,여자상의,2
51,51,롤리팝유모차,2
52,52,안정제,-1
53,53,대구이색데이트,4
54,54,강민경원피스,1
55,55,파퀴칩스,1
56,56,사교모임,-1
57,57,롤렉스빈티지,2
58,58,미끄럼틀침대,2
59,59,냉소바,4
60,60,추나요법한의원,-1
61,61,트리아나,2
62,62,윤남텍가습기,3
63,63,케틀칩,2
64,64,데오티슈,2
65,65,닭모이통,2
66,66,무지개치즈,2
67,67,옷장향기,2
68,68,자전거속도계추천,3
69,69,상품권구매,2
70,70,리버풀유니폼,2
71,71,맞춤거울,2
72,72,백패킹장비,4
73,73,투명풍선,2
74,74,가보시힐,3
75,75,폴로조끼,2
76,76,코디세트,2
77,77,임산부쿠션,2
78,78,THINNER,-1
79,79,듀얼충전기,2
80,80,중이염,-1
81,81,한샘바스,4
82,82,마스크쿠션,3
83,83,골프공크기,-1
84,84,네일아트국가자격증,-1
85,85,킥복싱다이어트,-1
86,86,GROUP,-1
87,87,조리도구통,2
88,88,대형가전수거,-1
89,89,에어컨실외기수리,-1
90,90,1톤캠핑카,5
91,91,스텐거름망,2
92,92,스도쿠중급,-1
93,93,배럴남자수영복,2
94,94,팬톤,5
95,95,프라하우스손목보호대,1
96,96,업소용중고냉장고,2
97,97,전자렌지용기,2
98,98,바야밴드,2
99,99,텀블러제작,2
0,0,테라스어닝,2
1,1,트윈룩,2
2,2,리던,3
3,3,대문문패,2
4,4,포켓반팔티,2
5,5,치과,-1
6,6,전동임팩,2
7,7,차흠집제거,3
8,8,현대포터3,-1
9,9,평창데이지,3
10,10,데님,2
11,11,아기침대모기장,2
12,12,초등간식,5
13,13,치매예방영양제,2
14,14,홈키트,3
15,15,철강가격,-1
16,16,CAB,-1
17,17,래쉬가드하의,3
18,18,맥심커피,3
19,19,교정교열,-1
20,20,통증,-1
21,21,야외창고,2
22,22,라운드반팔티,2
23,23,생활복,2
24,24,각인텀블러,2
25,25,신와아이스박스,1
26,26,세라밴드,3
27,27,침대사이즈비교,-1
28,28,에드라쇼파,2
29,29,덕트자재,2
30,30,뽀드락지,-1
31,31,뉴발란스모자,4
32,32,명품쇼핑백,2
33,33,전동카,2
34,34,육아박람회,-1
35,35,실외기실방충망,2
36,36,오일통,1
37,37,닥스여성반지갑,2
38,38,아기차량햇빛가리개,1
39,39,지하수,-1
40,40,앤드로스리플잼,2
41,41,현관타일시트지,2
42,42,근적외선좌욕기,2
43,43,아티장,-1
44,44,실내사이클효과,-1
45,45,원두그라인더,2
46,46,챔피온반바지,3
47,47,덮밥맛집,-1
48,48,차량용패드거치대,2
49,49,강아지결막염,-1
50,50,정화조청소,-1
51,51,욕실공사,2
52,52,분무기노즐,2
53,53,그라운드골프채,2
54,54,디자인벤처스거실장,2
55,55,피부에좋은음식,-1
56,56,브라운세정액,3
57,57,쉬운그림그리기,-1
58,58,자르,2
59,59,종이포장지,2
60,60,차량무선청소기,2
61,61,레이저각인,2
62,62,사무실선풍기,1
63,63,릴케이스,1
64,64,스마트쓰레기통,2
65,65,여성파자마세트,2
66,66,LASKO,2
67,67,한글스티커,1
68,68,유칼립투스디퓨저,2
69,69,에어샤워,2
70,70,쪽파,3
71,71,방풍커튼,2
72,72,바퀴의자,2
73,73,LG울트라와이드모니터,1
74,74,간호사유니폼,2
75,75,도수치료,-1
76,76,싱크대정수기,2
77,77,초파리날파리,-1
78,78,목단,5
79,79,애플배터리교체,5
80,80,안면마스크,2
81,81,명품반지갑,2
82,82,필라원피스,2
83,83,시어서커,4
84,84,스마트폰CCTV,2
85,85,원목침대,2
86,86,아이유포토카드,2
87,87,퍼스널컬러진단,-1
88,88,샤넬중고가방,2
89,89,툴레어닝,1
90,90,콜맨코쿤2,1
91,91,쌀강정,4
92,92,미니창고,3
93,93,차량텐트,2
94,94,전복찜,-1
95,95,2인용쇼파,2
96,96,쿠키봉투,2
97,97,마르지엘라뮬,2
98,98,텀블러홀더,1
99,99,디올숄더백,1
0,0,죠르디,1
1,1,전자현미경,2
2,2,나이키키높이,1
3,3,도요토미반사식난로,2
4,4,4살아이반찬,-1
5,5,긴머리레이어드컷,-1
6,6,쉐보레픽업트럭,-1
7,7,인테리어비용,-1
8,8,피부각질제거,5
9,9,레깅스티셔츠,2
10,10,여름철음식,-1
11,11,조말론우드세이지앤씨솔트,3
12,12,헤지스백팩,3
13,13,카누아메리카노,2
14,14,자동차트렁크정리함,2
15,15,숏단발,-1
16,16,보온팩,2
17,17,자일리톨설탕,1
18,18,워터프루프아이라이너,3
19,19,미군용품,3
20,20,프론토웨건,3
21,21,투명수납정리함,2
22,22,발렌티노버킷백,2
23,23,양반김,2
24,24,관절모기장,2
25,25,스노우피크텐트,2
26,26,노트북렌탈,2
27,27,나인웨어,4
28,28,가벼운크로스백,3
29,29,막대걸레,2
30,30,데코타일헤링본,2
31,31,반투명시트지,2
32,32,대구제사음식,-1
33,33,블랑101젖병세제,2
34,34,화초,2
35,35,새싹채소,2
36,36,엄지발가락관절통증,-1
37,37,조적욕조,-1
38,38,하지정맥류통증,-1
39,39,장수풍뎅이암컷,4
40,40,아이스쿨러,2
41,41,스펜서,-1
42,42,버박치약,1
43,43,카르카손,3
44,44,카스크프로톤,2
45,45,요요쉬대형,2
46,46,강원도여행,5
47,47,도라에몽인형,2
48,48,이유리쿠션,2
49,49,화분인테리어,2
50,50,DOD원터치텐트,1
51,51,물다,4
52,52,네오플랜마스크,2
53,53,셀린느벨트,2
54,54,전기그릴추천,3
55,55,기저귀파우치,2
56,56,애견미끄럼방지매트,2
57,57,세면대냄새,3
58,58,적재함,2
59,59,주니어의류,3
60,60,폰케이스주문제작,2
61,61,리모콘스위치,2
62,62,벤치소파,2
63,63,스테인리스후라이팬,1
64,64,침구진드기,4
65,65,빈티지옷,3
66,66,나비주름쉬폰커튼,2
67,67,디즈니피규어,2
68,68,까사미아책장,2
69,69,뽀로로병원놀이,1
70,70,기름때,2
71,71,거울닦는법,-1
72,72,사생활보호필름,2
73,73,유치원원복,3
74,74,아디다스에센셜티,2
75,75,폴스미스클러치백,2
76,76,누에,6
77,77,20인치모니터,1
78,78,중년남자모자,2
79,79,질레트,4
80,80,자전거스탠드,2
81,81,강아지유모차추천,2
82,82,퍽퍽한밤고구마,2
83,83,LG디오스광파오븐,1
84,84,이노시톨,4
85,85,캠핑키친툴,2
86,86,옷방냄새,-1
87,87,자유의여신상,-1
88,88,변기뚫기,2
89,89,핸드폰사진인화,2
90,90,자전거브레이크패드,2
91,91,네모닉,4
92,92,알콜소독제,2
93,93,다년생꽃,2
94,94,헤지스가방,3
95,95,해태과자,2
96,96,식탁인테리어,3
97,97,다데기,5
98,98,꽃상자,2
99,99,갱년기극복,-1
0,0,버버리우산,2
1,1,뚝섬유원지텐트대여,-1
2,2,아기볼풀장,2
3,3,경차,-1
4,4,프로틴바,2
5,5,BMWX1,-1
6,6,법인택시,-1
7,7,행잉레그레이즈,-1
8,8,깃털조명,2
9,9,칸데오레더,3
10,10,폼알데하이드,-1
11,11,뉴발란스책가방,3
12,12,냉동오징어,2
13,13,순면요커버,2
14,14,유키젤,3
15,15,물건,4
16,16,컨버스뮬,2
17,17,제주도선물,-1
18,18,푸들,-1
19,19,크리스마스트리나무,3
20,20,카페냉장고,2
21,21,월계수나무,2
22,22,체험,-1
23,23,구름슬리퍼,2
24,24,운동브라탑,2
25,25,강아지모자,2
26,26,카플링,2
27,27,출입문방충망,2
28,28,피부한의원,-1
29,29,200ML,-1
30,30,PIERRECARDIN,3
31,31,A컵비키니,2
32,32,자전거덮개,2
33,33,뉴발란스996그레이,3
34,34,상황버섯종류,6
35,35,시크폭스,4
36,36,써모스콜드컵,3
37,37,강아지미용학원,-1
38,38,나이키에어포스블랙,2
39,39,통통쇼핑몰,3
40,40,매트리스커버,2
41,41,빔클램프,2
42,42,붙박이책장,4
43,43,도무송,3
44,44,코렐앞접시,2
45,45,경동택배가격,-1
46,46,마마스앤파파스어보2,2
47,47,무선랜,1
48,48,PPA,-1
49,49,야생화,6
50,50,아이오페바이오에센스,3
51,51,씨투써밋,2
52,52,안시,4
53,53,쇼파쿠션인테리어,2
54,54,양념통,2
55,55,키즈수영모자,1
56,56,순두부찌개끓이는법,-1
57,57,말렛퍼터,2
58,58,범보의자,1
59,59,다이소차량용핸드폰거치대,4
60,60,반짝이풀,1
61,61,남자세미와이드슬랙스,2
62,62,ABATHINGAPE,3
63,63,여름양산,2
64,64,아티카,2
65,65,카드홀더,2
66,66,폴로랄프로렌신발,2
67,67,듀라렉스접시,2
68,68,보토,-1
69,69,샤넬머리핀,2
70,70,코엑스미용실,-1
71,71,통돌이세탁기분해청소,4
72,72,편안한샌들,2
73,73,차량목베개,2
74,74,쁘띠메종매트,5
75,75,원룸싱크대,2
76,76,임산부바디로션,4
77,77,만도,-1
78,78,가리모쿠소파,2
79,79,회음부방석,2
80,80,아발론,5
81,81,바닥요매트,2
82,82,ACTUATOR,-1
83,83,IWC시계,3
84,84,마크제이콥스가방,3
85,85,이불보관팩,2
86,86,네온사인,2
87,87,불소원샷,3
88,88,암막가리개,2
89,89,가죽데스크매트,2
90,90,고양이장난감,2
91,91,이바지음식,4
92,92,브라보펌프,2
93,93,거꾸로우산,2
94,94,나이키마스야드,2
95,95,램브란트,-1
96,96,계단오르기운동기구,1
97,97,다리베개,2
98,98,영창피아노중고,4
99,99,캠핑스피커,2
0,0,미니로디니수영복,2
1,1,가림막파티션,2
2,2,청소기렌탈,2
3,3,높이조절테이블,2
4,4,베이킹클래스,-1
5,5,삼성태블릿,3
6,6,햇빛차단마스크,2
7,7,여의도한강공원텐트대여,-1
8,8,갈바닉,2
9,9,싸이벡스주니어카시트,2
10,10,송혜교화장품,4
11,11,헤어앰플,2
12,12,폴리에스테르100%,4
13,13,라떼잔,2
14,14,만세선인장,2
15,15,블랙모어스리프리놀,2
16,16,문콕수리비,-1
17,17,손목골절수술,-1
18,18,바이오크린콜,2
19,19,스파오닷컴,3
20,20,황,-1
21,21,여성골프치마바지,2
22,22,메쉬파우치,2
23,23,데코뷰이불,3
24,24,대형보석십자수,2
25,25,만화사이트,-1
26,26,아기캡모자,3
27,27,여름방수자켓,2
28,28,부모님꽃선물,4
29,29,후드조끼,2
30,30,미트클럽,-1
31,31,사이드미러,2
32,32,보테가베네타크로스바디백,2
33,33,애견클리퍼,2
34,34,보온보냉주전자,2
35,35,슬립온브랜드,2
36,36,아디다스고글,2
37,37,바이레도인플로레센스,3
38,38,SHEET,-1
39,39,미원,1
40,40,손상모복구,3
41,41,여성빅사이즈구두,3
42,42,쥐벼룩,-1
43,43,레몬파운드케이크,3
44,44,퍼터샤프트,2
45,45,토즈구두,3
46,46,모던바로크,2
47,47,멤브레인키보드,1
48,48,BMD,4
49,49,시트로넬라스프레이,2
50,50,식탁상판,2
51,51,네일연장팁,1
52,52,욕실페인트,3
53,53,차앞유리돌빵,4
54,54,핀셋집게,2
55,55,프레즐과자,1
56,56,데싱디바,4
57,57,믹서기,2
58,58,배근력측정,-1
59,59,리클라이너커버,2
60,60,매트리스곰팡이,-1
61,61,생로랑루카메라백,2
62,62,남성인견팬티,2
63,63,화장실등,2
64,64,차례,-1
65,65,남성숄더백,3
66,66,긴팔쿨티셔츠,2
67,67,옻진액,2
68,68,로트벡쉔,5
69,69,에코스니커즈,3
70,70,무릎인공관절수술,-1
71,71,짐색,2
72,72,열돔,1
73,73,웹디스크,-1
74,74,석쇠그릴,2
75,75,9인승,-1
76,76,스피드스케이트,2
77,77,캠핑주방,2
78,78,스와로브스키테니스팔찌,2
79,79,M340I,-1
80,80,원터치피팅,2
81,81,거실책상,4
82,82,세필붓,2
83,83,인견스프레드,2
84,84,프린터받침대,2
85,85,예티툰드라45,1
86,86,페넥지갑,3
87,87,사무실소파,2
88,88,입덧에좋은음식,-1
89,89,카페커튼,2
90,90,테이져건,1
91,91,주방가림막,2
92,92,빅사이즈워터레깅스,2
93,93,헬스용품점,-1
94,94,중국광저우,-1
95,95,레인지후드,2
96,96,초현실주의그림,-1
97,97,상토흙,2
98,98,개목줄,2
99,99,대형폐기물수거,-1
0,0,한샘전시장,-1
1,1,목수구인,-1
2,2,SNPE웨이브베개,3
3,3,엔진세정제,2
4,4,쇼파버리는비용,-1
5,5,슬레이트,1
6,6,블루투스삼각대,1
7,7,냉장고리폼,5
8,8,QR,-1
9,9,철제화분다이,2
10,10,명품쇼핑몰,-1
11,11,TRY,4
12,12,착시현상,-1
13,13,트레이닝팬츠,3
14,14,명품시계브랜드순위,6
15,15,안경케이스,2
16,16,빠지,4
17,17,동파이프,2
18,18,새집증후군제거방법,4
19,19,프렌치가구,2
20,20,생로랑컬리지백,3
21,21,버섯의효능,-1
22,22,AAA컵,6
23,23,농사장화,2
24,24,해면스펀지,2
25,25,미역취,5
26,26,MOMA,4
27,27,탁상전자시계,2
28,28,아반떼HD와이퍼,2
29,29,김해와인동굴,5
30,30,현대스마트키,3
31,31,양키캔들디퓨저,3
32,32,패드거치대,2
33,33,코지마매장,-1
34,34,바텐더자격증,-1
35,35,넷플릭스키즈,-1
36,36,포터카드지갑,2
37,37,키르시백팩,2
38,38,프라다반지,2
39,39,서각,-1
40,40,진저본생강젤리,2
41,41,카카오프렌즈티셔츠,2
42,42,차긁힘물파스,-1
43,43,풍량,-1
44,44,여자골프티셔츠,2
45,45,맥스크루즈차박,3
46,46,꼬임뮬,1
47,47,쟁반국수,4
48,48,샤오미드리미V9,1
49,49,맥북USB,5
50,50,투싼차박매트,2
51,51,아쿠아밴드,1
52,52,스트레치필름,2
53,53,알곤가스,2
54,54,담금주,2
55,55,스카치테이프리필,2
56,56,냅킨꽂이,2
57,57,라마르조꼬,3
58,58,에프터쉐이브,2
59,59,메종키츠네모자,3
60,60,ANGULAR,-1
61,61,산드로원피스,3
62,62,증명사진배경,-1
63,63,실리콘뒤집개,2
64,64,야광팔찌,2
65,65,경량패딩,3
66,66,뉴발574,3
67,67,이케아주방놀이,2
68,68,북유럽카페트,2
69,69,24시카페,-1
70,70,고정구피,4
71,71,INFRARED,-1
72,72,모이몰른,3
73,73,인아트침대,2
74,74,조각보,2
75,75,SCIENCE,-1
76,76,18K금귀걸이,3
77,77,마루망,4
78,78,세균종류,-1
79,79,나이키맥스95,2
80,80,USB젠더,2
81,81,아페쎄에코백,3
82,82,폼롤러,2
83,83,삼성50인치TV,2
84,84,타프폴대,2
85,85,스타우브아시아볼18,2
86,86,짐빔하이볼,2
87,87,목공원데이클래스,6
88,88,프리즈마유성색연필,2
89,89,나이키남성레깅스,2
90,90,출입금지,2
91,91,폴로체크셔츠,2
92,92,아이띵소,3
93,93,결혼식답례봉투,2
94,94,발렌티노운동화,2
95,95,실리콘장갑,2
96,96,하이드로겐,2
97,97,강아지십자인대파열,-1
98,98,꼬떼따블커튼,2
99,99,동물복지유정란,2
0,0,힙업밴드,2
1,1,끌로에가방,2
2,2,트윙클써니,-1
3,3,가정용게임기,3
4,4,필러가격,-1
5,5,의류전사지,2
6,6,마루메꾸미,2
7,7,6개월이유식양,-1
8,8,스투시사이즈,-1
9,9,중고차추천,-1
10,10,아쿠아클린소파,2
11,11,쇼파전문매장,2
12,12,아도라572,1
13,13,서서타는자전거,1
14,14,삼나물,4
15,15,미니멀웍스글래머쉘터,1
16,16,구찌마틀라세,2
17,17,침대싱글,2
18,18,대구리모델링,-1
19,19,근처셀프세차장,-1
20,20,히노끼탕,-1
21,21,화분받침,2
22,22,자전거조끼,2
23,23,방화복,2
24,24,카시트통풍시트,2
25,25,BIKE,-1
26,26,포르테,-1
27,27,산드로니트원피스,2
28,28,뚝섬텐트대여,-1
29,29,남성등산복,2
30,30,삼두운동,-1
31,31,초등여아운동화,2
32,32,버너테이블,1
33,33,쏘렌토차박텐트,2
34,34,3칸나눔접시,2
35,35,샐러드마스터,6
36,36,깨진타일보수,3
37,37,HERMES,4
38,38,돌아기옷,3
39,39,내남품,-1
40,40,가정용고기그릴,2
41,41,대형쓰레기,-1
42,42,ROX,-1
43,43,어린이보온병,2
44,44,발받침,2
45,45,엄브로반바지,2
46,46,스마트커튼,2
47,47,쌍용픽업트럭,-1
48,48,다이어트스콘,2
49,49,BARREL,6
50,50,여자첼시부츠,3
51,51,한복머리장식,2
52,52,홈트,3
53,53,페트병재활용,-1
54,54,아기성장앨범,5
55,55,뽁뽁이,2
56,56,페놀프탈레인용액,4
57,57,싱크대수도꼭지교체,3
58,58,여자나이키반팔티,2
59,59,써스데이아일랜드베스트,1
60,60,옷장선반,2
61,61,현재온도,-1
62,62,유통기한스티커,2
63,63,샤오미로봇청소기물걸레,2
64,64,실외기고장,-1
65,65,에어벤트,2
66,66,집바퀴벌레,-1
67,67,라텍스목베개,2
68,68,아폴로분무기,2
69,69,아그와,-1
70,70,OBEY,4
71,71,GCDS,5
72,72,잔티젠,2
73,73,징크크림,1
74,74,다이캐스팅,6
75,75,톰브라운바지,2
76,76,66사이즈,-1
77,77,성인물총,2
78,78,WINNING,-1
79,79,보랄,4
80,80,HG,-1
81,81,요꼬,4
82,82,마켓비캔들워머,2
83,83,끌차,2
84,84,나노노에,3
85,85,곤충샵,6
86,86,캔버스사이즈,4
87,87,아메카지브랜드,-1
88,88,화과자만들기,4
89,89,차영화관,-1
90,90,여아청반바지,2
91,91,주방기구,2
92,92,수세미뜨개질,6
93,93,호두과자,4
94,94,남성작업복바지,2
95,95,미국피자,-1
96,96,열패치,2
97,97,욕조물때,6
98,98,PD충전기,1
99,99,줄넘기,2
0,0,다이소유심칩,-1
1,1,루이비통신상,3
2,2,럼블롤러,2
3,3,AAA충전지,2
4,4,걸레짤순이,2
5,5,샤넬보이백,4
6,6,소형발전기,2
7,7,유아스텐물병,1
8,8,중고판매,5
9,9,스마트전기차,5
10,10,양양서피비치펜션,-1
11,11,중식,-1
12,12,속옷사이즈,-1
13,13,크로우캐년홈,5
14,14,원목주방수납장,2
15,15,제네시스키링,2
16,16,닌텐도스위치프로,5
17,17,반수생거북이,4
18,18,신진대사촉진,4
19,19,라크로스볼,1
20,20,바닥카페트,2
21,21,여자양산,2
22,22,브리타니,-1
23,23,유아인견잠옷,2
24,24,반에이크,3
25,25,EPS,-1
26,26,구찌블라우스,2
27,27,식물카페,-1
28,28,KIPLING,3
29,29,아기목욕타올,2
30,30,앞후크브라렛,2
31,31,꼼데가르송가디건,2
32,32,발접질렀을때,-1
33,33,시보해제,3
34,34,고야드장지갑,2
35,35,베리주,-1
36,36,솔트워터샤크,2
37,37,6세수학,4
38,38,어린이집물놀이,4
39,39,스마트홈카메라,2
40,40,4인용쇼파,3
41,41,이케아조명,3
42,42,화장잘하는법,-1
43,43,구찌스카프,3
44,44,아일랜드쪼리,2
45,45,여름반팔니트,2
46,46,밍크뮤,3
47,47,캐릭터피규어,2
48,48,주방후드,2
49,49,T50,1
50,50,페이스제모기,2
51,51,빨간바지,2
52,52,미니멜리사제이슨우,1
53,53,티셔츠정리함,2
54,54,레진공예세트,2
55,55,우체국택배박스크기,-1
56,56,복싱붕대,1
57,57,애플워치링크브레이슬릿,2
58,58,위니아벽걸이에어컨청소,6
59,59,플리스자켓,3
60,60,원목침대가드,2
61,61,구찌반팔,2
62,62,스리퍼,2
63,63,오링,2
64,64,배기,6
65,65,맥설트리무브,4
66,66,제이에스티나카드지갑,4
67,67,네일아트재료,2
68,68,거버,3
69,69,내셔널지오그래픽아노락,3
70,70,제도판,2
71,71,맥주보냉백,1
72,72,방충망설치,2
73,73,실리콘테이프,2
74,74,손톱이깨지는이유,-1
75,75,컴포트샌들,3
76,76,여름휴가추천,-1
77,77,콘센트마개,1
78,78,해군정복,-1
79,79,모노마,-1
80,80,이유식보관용기,2
81,81,대구워터파크,5
82,82,한일전기장판,2
83,83,코로나자가진단키트가격,3
84,84,프라다버킷백미니,2
85,85,턱화이트헤드,6
86,86,물안개피는모래소,5
87,87,캠핑식기건조망,1
88,88,스킨쿨러,1
89,89,국산서리태,2
90,90,세계국기,-1
91,91,상호,-1
92,92,비누케이스,2
93,93,버버리스니커즈,3
94,94,청주도자기공방,3
95,95,스시201,-1
96,96,탑브라,2
97,97,콜밴비용,-1
98,98,스타빌로형광펜,2
99,99,C타입고속충전케이블,2
0,0,탁상바이스,2
1,1,경주인견,1
2,2,윈도우,1
3,3,명이나물먹는법,-1
4,4,어린이썬크림,2
5,5,주방선반정리,2
6,6,영어단어프로그램,5
7,7,목뒤통증,-1
8,8,중고보트,3
9,9,PASECO선풍기,1
10,10,여성반팔블라우스,3
11,11,비키원피스,3
12,12,크록스C6,1
13,13,커피박화분,1
14,14,피지우는방법,-1
15,15,정동진크루즈,4
16,16,홍현희마스크,6
17,17,쇼파쿠션,2
18,18,욕실등,2
19,19,그린원피스,3
20,20,아기물놀이,1
21,21,유아물감놀이,2
22,22,소형견하네스,2
23,23,커피차가격,-1
24,24,데상트스니커즈,3
25,25,데비마이어,4
26,26,미니책장,2
27,27,팔로마울,3
28,28,폴바셋원두,2
29,29,휴대용스팀다리미,1
30,30,프라이탁마이애미,1
31,31,푸들미용,-1
32,32,유닉스고데기,3
33,33,청주크록스,-1
34,34,놀거리,-1
35,35,스탠드갓,2
36,36,예쁜인테리어가구,5
37,37,강아지캠핑장,-1
38,38,세면기부속,2
39,39,그랜저색상,-1
40,40,헤지스남자가방,3
41,41,종이보냉박스,2
42,42,프랑스집게핀,2
43,43,화과자,2
44,44,락피쉬첼시,2
45,45,대하구이,-1
46,46,호캉스수영복,2
47,47,크리넥스데코소프트,2
48,48,자전거양말,2
49,49,불교대학,-1
50,50,산양우유,2
51,51,기장힐튼호텔,5
52,52,슈퍼싱글이불,2
53,53,단호박라떼,3
54,54,알약케이스,2
55,55,건강팔찌,2
56,56,아기용품점,-1
57,57,피지오머,3
58,58,아가타우산,1
59,59,시저강아지,1
60,60,자동차왁스,2
61,61,플라스틱줄이기,-1
62,62,DISPLAY,-1
63,63,방수트레킹화,2
64,64,아카시아집성목,2
65,65,에버랜드자유이용권할인,-1
66,66,켓타워,2
67,67,건강한다이어트식단,-1
68,68,장난감소독,4
69,69,리버시블,1
70,70,모유늘리기,-1
71,71,남성삼각,2
72,72,비눗방울총,1
73,73,수제화샌들,2
74,74,K5타이어,3
75,75,여자아이원피스,3
76,76,여름우주복,1
77,77,공기질측정기,2
78,78,진주비즈,2
79,79,마이크로미니,3
80,80,OPP봉투,2
81,81,더말로지카,5
82,82,벤틀리벤테이가,-1
83,83,골프의류브랜드,-1
84,84,잡티제거,4
85,85,아동원피스,3
86,86,황산가리비료,3
87,87,환등기,5
88,88,제닉스의자,2
89,89,오뚜기짜장,2
90,90,나이키우븐팬츠,3
91,91,벤치프레스의자,2
92,92,안양예술공원맛집,-1
93,93,나이키드라이핏긴팔,3
94,94,버디삭스,3
95,95,여권사진,-1
96,96,일본접시,2
97,97,캠핑주방용품,2
98,98,차량인테리어,2
99,99,골프벙거지모자,2
0,0,청첩장샘플,3
1,1,철물점,-1
2,2,소파스킨스,4
3,3,빗자루,2
4,4,세정몰,-1
5,5,사물함,2
6,6,소프트투블럭,-1
7,7,타미린넨셔츠,2
8,8,바람막이천막,2
9,9,디지몬카드,2
10,10,올리브영입욕제,6
11,11,카메라가방,3
12,12,아이폰10,2
13,13,남성쿨티셔츠,2
14,14,남자직장인가방,3
15,15,선릉역,-1
16,16,신일탁상용선풍기,2
17,17,공룡알키우기,1
18,18,인버터에어컨,2
19,19,사각유부,2
20,20,매직파티션,2
21,21,남아백일옷,2
22,22,공기청정기추천,5
23,23,이케아뤽셀레,1
24,24,1급공업사,-1
25,25,소방안전교육,-1
26,26,개별포장마스크,2
27,27,에코후레쉬에어컨,3
